1.41857,
0.417965,
1.13251,
0.474864,
0.830453,
1.37622,
0.305044,
1.23535,
0.520667,
0.948186,
0.937478,
0.777685,
0.446162,
0.679533,
0.501106,
0.481943,
0.921209,
0.601659,
0.48041,
1.03085,
1.01433,
0.354591,
0.820669,
0.492414,
0.739015,
0.950385,
0.880765,
0.813705,
0.849554,
1.15601,
0.637518,
0.920134,
0.584115,
0.702623,
0.798883,
0.781561,
0.720085,
0.415319,
0.50018,
0.483703,
0.769005,
0.978152,
0.646776,
0.778266,
1.11116,
0.70981,
0.855973,
0.446367,
1.1406,
1.0892,
0.691326,
0.605567,
0.576144,
0.847591,
0.961311,
1.1903,
0.621161,
0.479845,
0.94565,
0.393181,
1.09811,
0.695334,
0.721236,
0.428699,
0.937715,
0.931888,
0.426388,
0.295722,
0.721245,
0.54131,
0.84654,
0.789338,
0.604131,
0.536831,
0.462041,
0.368493,
1.02909,
0.450033,
0.567067,
0.640436,
1.19734,
0.420474,
0.783302,
0.419217,
0.634254,
0.908938,
0.596089,
0.661631,
0.519029,
0.746151,
0.487996,
0.47042,
0.679635,
0.249373,
0.939191,
0.652423,
0.63555,
0.540712,
0.47738,
0.544451,
1.3022,
0.31171,
0.790455,
0.335244,
0.69551,
1.19803,
0.300533,
1.06673,
0.42564,
0.86428,
0.741016,
0.552343,
0.297471,
0.469615,
0.386619,
0.371576,
0.777637,
0.485768,
0.450155,
0.804712,
0.723466,
0.288148,
0.747049,
0.399984,
0.664939,
0.866237,
0.747174,
0.664337,
0.771099,
0.936467,
0.535051,
0.752342,
0.473496,
0.572665,
0.638207,
0.678607,
0.617931,
0.30401,
0.455128,
0.380314,
0.541678,
0.704663,
0.510494,
0.662034,
0.856566,
0.678172,
0.740581,
0.324521,
1.08519,
0.934979,
0.593564,
0.441952,
0.49746,
0.800375,
0.919156,
0.861631,
0.404193,
0.394539,
0.796258,
0.291759,
0.822896,
0.669641,
0.591465,
0.356164,
0.747458,
0.717352,
0.32504,
0.227918,
0.61031,
0.425709,
0.691878,
0.573295,
0.471203,
0.414904,
0.317176,
0.296044,
0.902053,
0.31417,
0.464981,
0.490631,
1.14545,
0.329938,
0.768427,
0.346133,
0.565989,
0.664137,
0.480119,
0.552533,
0.427463,
0.603646,
0.363367,
0.393524,
0.559661,
0.186699,
0.691536,
0.516001,
0.556537,
0.359993,
0.334093,
0.431694,
1.21481,
0.259762,
0.57319,
0.27055,
0.603317,
1.08346,
0.294001,
0.954226,
0.36833,
0.767054,
0.635456,
0.434649,
0.217277,
0.349116,
0.322734,
0.333878,
0.688697,
0.431493,
0.424895,
0.686545,
0.535863,
0.240352,
0.690933,
0.341236,
0.636606,
0.79921,
0.66203,
0.569579,
0.708783,
0.819876,
0.506763,
0.686521,
0.407376,
0.499563,
0.541792,
0.623538,
0.552034,
0.240546,
0.437866,
0.320573,
0.421071,
0.552863,
0.44708,
0.576078,
0.717674,
0.648581,
0.662572,
0.264072,
1.02343,
0.839889,
0.533579,
0.352806,
0.456346,
0.736873,
0.903456,
0.698181,
0.293504,
0.333264,
0.678601,
0.236545,
0.659051,
0.622841,
0.514509,
0.303304,
0.632294,
0.588439,
0.253234,
0.197331,
0.558459,
0.357274,
0.59648,
0.466163,
0.387639,
0.341128,
0.236602,
0.256957,
0.816144,
0.247774,
0.4114,
0.402313,
1.07762,
0.271498,
0.751175,
0.30368,
0.532919,
0.540271,
0.406334,
0.474634,
0.364202,
0.507206,
0.303888,
0.361226,
